epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,716.854,1.51589,1.86678,1.93586,0.55163,0.53931,0.54768,0.29266,1.58694,1.84907,2.02516,0.000643795,0.000643795,0.000643795
64,727.971,1.50736,1.85517,1.92471,0.59892,0.52008,0.5405,0.28406,1.6327,1.83506,2.02923,0.000627292,0.000627292,0.000627292
65,739.283,1.50626,1.83648,1.91747,0.60029,0.49124,0.54658,0.29183,1.58648,1.86206,2.00462,0.000610789,0.000610789,0.000610789
66,750.785,1.5183,1.86006,1.93149,0.60635,0.51838,0.55598,0.29497,1.6363,1.83462,2.04398,0.000594286,0.000594286,0.000594286
67,762.159,1.49732,1.79975,1.9057,0.55724,0.5249,0.54737,0.29716,1.56895,1.79758,2.00398,0.000577782,0.000577782,0.000577782
68,773.609,1.50814,1.84284,1.92763,0.58772,0.52013,0.54813,0.29184,1.60753,1.83846,2.02621,0.000561279,0.000561279,0.000561279
69,784.829,1.502,1.8068,1.90737,0.59738,0.50083,0.55183,0.29771,1.57979,1.80339,2.00174,0.000544776,0.000544776,0.000544776
70,796.162,1.48867,1.79938,1.90241,0.63252,0.50261,0.55811,0.30516,1.58022,1.80439,1.98235,0.000528272,0.000528272,0.000528272
71,807.338,1.48856,1.82243,1.89508,0.61318,0.50715,0.56591,0.30246,1.59025,1.79422,2.00141,0.000511769,0.000511769,0.000511769
72,818.583,1.47717,1.79548,1.89658,0.59243,0.54414,0.56894,0.30123,1.59945,1.80565,2.00637,0.000495266,0.000495266,0.000495266
73,829.867,1.47013,1.79078,1.87669,0.62605,0.48779,0.53852,0.28754,1.61102,1.84164,2.02438,0.000478762,0.000478762,0.000478762
74,841.129,1.46247,1.76145,1.87575,0.56355,0.541,0.55631,0.30942,1.54645,1.82544,1.95805,0.000462259,0.000462259,0.000462259
